dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,11076,886,493913,window
faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,11076,/phylanx$0/__add$0/1$45$8,472891,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,11076,898,145607,window
faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,11076,/phylanx$0/__add$0/1$45$8,172695,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,939920690,1631305745,11077,5797,182081,window
faf17535-2f66-4621-995f-49c7dbd84e8b,939920690,1631305745,11077,/phylanx$0/__add$0/1$45$8,166565,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,1115936733,1279273659,11076,5519,177277,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1115936733,1279273659,11076,/phylanx$0/__add$0/1$45$8,238696,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,980195547,1347144252,11076,6998,225413,window
faf17535-2f66-4621-995f-49c7dbd84e8b,980195547,1347144252,11076,/phylanx$0/__add$0/1$45$8,156454,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,1007791283,1291952780,11077,2401,179037,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1007791283,1291952780,11077,/phylanx$0/__add$0/1$45$8,169399,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,1143532469,1224082187,11077,2343,184687,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1143532469,1224082187,11077,/phylanx$0/__add$0/1$45$8,175893,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,1115936733,1279273659,11076,2358,197291,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1115936733,1279273659,11076,/phylanx$0/__add$0/1$45$8,181473,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,790754551,1441864750,11077,2235,179494,window
faf17535-2f66-4621-995f-49c7dbd84e8b,790754551,1441864750,11077,/phylanx$0/__add$0/1$45$8,159217,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,913070785,1197232282,11076,2327,178913,window
faf17535-2f66-4621-995f-49c7dbd84e8b,913070785,1197232282,11076,/phylanx$0/__add$0/1$45$8,166895,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,1074916047,1157703255,11076,3162,184721,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1074916047,1157703255,11076,/phylanx$0/__add$0/1$45$8,181681,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,939920692,1427693965,11076,9470,178902,window
faf17535-2f66-4621-995f-49c7dbd84e8b,939920692,1427693965,11076,/phylanx$0/__add$0/1$45$8,158658,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,805671164,1494818729,11076,2104,180008,window
faf17535-2f66-4621-995f-49c7dbd84e8b,805671164,1494818729,11076,/phylanx$0/__add$0/1$45$8,160999,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,913816614,1278527829,11076,2381,178719,window
faf17535-2f66-4621-995f-49c7dbd84e8b,913816614,1278527829,11076,/phylanx$0/__add$0/1$45$8,161494,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,1048811974,1373248324,11076,2366,177374,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1048811974,1373248324,11076,/phylanx$0/__add$0/1$45$8,168076,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,980941381,1508989510,11077,2002,182055,window
faf17535-2f66-4621-995f-49c7dbd84e8b,980941381,1508989510,11077,/phylanx$0/__add$0/1$45$8,161586,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,548359575,1725280413,11077,2106,169653,window
faf17535-2f66-4621-995f-49c7dbd84e8b,548359575,1725280413,11077,/phylanx$0/__add$0/1$45$8,154988,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,832521069,1156957425,11077,2508,170122,window
faf17535-2f66-4621-995f-49c7dbd84e8b,832521069,1156957425,11077,/phylanx$0/__add$0/1$45$8,157388,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,967516427,1211403065,11077,8282,174838,window
faf17535-2f66-4621-995f-49c7dbd84e8b,967516427,1211403065,11077,/phylanx$0/__add$0/1$45$8,158111,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,886220882,1373994155,11076,2381,209318,window
faf17535-2f66-4621-995f-49c7dbd84e8b,886220882,1373994155,11076,/phylanx$0/__add$0/1$45$8,157507,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,696779884,1468714654,11077,2140,186872,window
faf17535-2f66-4621-995f-49c7dbd84e8b,696779884,1468714654,11077,/phylanx$0/__add$0/1$45$8,160999,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,886220880,1089832662,11076,2215,168243,window
faf17535-2f66-4621-995f-49c7dbd84e8b,886220880,1089832662,11076,/phylanx$0/__add$0/1$45$8,159104,window_cond
Initial serve memory: 639.609 MB
Post serve memory: 1001.75 MB
Post data serve memory:  MB
