window,dataset,kdt_load_time(micros),kdt_memory(MB),agc_load_time(micros),agc_memory(MB)
1,kmeans,12151,39.0938,466197,38.793
2,kmeans,12300,39.0938,526671,38.793
4,kmeans,11715,39.0938,560019,38.793
8,kmeans,12189,39.0938,467167,38.793
16,kmeans,11978,39.0938,461359,38.793
32,kmeans,11991,39.0938,490796,38.793
1024,kmeans,12567,39.0938,496102,38.793
1,dgemm,403,25.4062,5437,25.3789
2,dgemm,424,25.4062,6329,25.3789
4,dgemm,792,25.4062,5467,25.3789
8,dgemm,417,25.4062,6292,25.3789
16,dgemm,401,25.4062,6067,25.3789
32,dgemm,408,25.4062,5468,25.3789
1024,dgemm,379,25.4062,6381,25.3789
